Sun 08 Sep 2024, 04:56PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
14.667, 33, Clicked: None, x=1508, y=576,  RED: x=763,  y=850,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=31,  score=14, ORANGE: x=1550,  y=531,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=21,  score=19, YELLOW: x=1455,  y=293,  dx=-0.09934863577095066,  dy=0.046298943876833004,  clicks=1,  score=0,
14.995, 33, Clicked: ORANGE, x=1553,  y=600,  RED: x=793,  y=876,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1577,  y=554,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=22,  score=20, YELLOW: x=1416,  y=311,  dx=-0.09934863577095066,  dy=0.046298943876833004,  clicks=1,  score=0,
15.26, 34, Clicked: ORANGE, x=1573,  y=599,  RED: x=818,  y=897,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1598,  y=573,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=23,  score=21, YELLOW: x=1384,  y=326,  dx=-0.09934863577095066,  dy=0.046298943876833004,  clicks=1,  score=0,
15.722, 35, Clicked: ORANGE, x=1672,  y=617,  RED: x=860,  y=906,  dx=0.07598817132224117,  dy=-0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1636,  y=606,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=24,  score=22, YELLOW: x=1328,  y=352,  dx=-0.09934863577095066,  dy=0.046298943876833004,  clicks=1,  score=0,
16.265, 36, Clicked: ORANGE, x=1669,  y=636,  RED: x=910,  y=864,  dx=0.07598817132224117,  dy=-0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1681,  y=644,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=25,  score=23, YELLOW: x=1263,  y=383,  dx=-0.09934863577095066,  dy=0.046298943876833004,  clicks=1,  score=0,
16.496, 37, Clicked: ORANGE, x=1690,  y=657,  RED: x=932,  y=845,  dx=0.07598817132224117,  dy=-0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1700,  y=661,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=26,  score=24, YELLOW: x=1235,  y=396,  dx=-0.09934863577095066,  dy=0.046298943876833004,  clicks=1,  score=0,
16.71, 38, Clicked: ORANGE, x=1692,  y=661,  RED: x=951,  y=828,  dx=0.07598817132224117,  dy=-0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1717,  y=676,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=27,  score=25, YELLOW: x=1209,  y=408,  dx=-0.09934863577095066,  dy=0.046298943876833004,  clicks=1,  score=0,
16.957, 39, Clicked: ORANGE, x=1723,  y=682,  RED: x=974,  y=809,  dx=0.07598817132224117,  dy=-0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1738,  y=694,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=28,  score=26, YELLOW: x=1179,  y=422,  dx=-0.09934863577095066,  dy=0.046298943876833004,  clicks=1,  score=0,
17.204, 40, Clicked: ORANGE, x=1732,  y=692,  RED: x=997,  y=789,  dx=0.07598817132224117,  dy=-0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1758,  y=711,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=29,  score=27, YELLOW: x=1149,  y=435,  dx=-0.09934863577095066,  dy=0.046298943876833004,  clicks=1,  score=0,
17.338, 41, Clicked: ORANGE, x=1738,  y=701,  RED: x=1009,  y=779,  dx=0.07598817132224117,  dy=-0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1751,  y=720,  dx=-0.06761781463829683,  dy=0.05843019347804512,  clicks=30,  score=28, YELLOW: x=1134,  y=443,  dx=-0.09934863577095066,  dy=0.046298943876833004,  clicks=1,  score=0,
