Sun 08 Sep 2024, 04:47PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
10.986, 17, Clicked: RED, x=601,  y=550,  DARK_RED: x=588,  y=550,  dx=0.06401335170604448,  dy=-0.12292950937019215,  clicks=30,  score=0, ORANGE: x=699,  y=422,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=486,  y=301,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
11.118, 17, Clicked: RED, x=604,  y=538,  DARK_RED: x=599,  y=531,  dx=0.06401335170604448,  dy=-0.12292950937019215,  clicks=31,  score=0, ORANGE: x=705,  y=411,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=488,  y=311,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
11.248, 17, Clicked: RED, x=605,  y=529,  DARK_RED: x=609,  y=511,  dx=0.06401335170604448,  dy=-0.12292950937019215,  clicks=32,  score=0, ORANGE: x=711,  y=399,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=490,  y=321,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
11.38, 17, Clicked: RED, x=605,  y=528,  DARK_RED: x=619,  y=491,  dx=0.06401335170604448,  dy=-0.12292950937019215,  clicks=33,  score=0, ORANGE: x=716,  y=387,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=493,  y=331,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
11.595, 17, Clicked: RED, x=632,  y=456,  DARK_RED: x=636,  y=459,  dx=0.06401335170604448,  dy=-0.12292950937019215,  clicks=34,  score=0, ORANGE: x=725,  y=368,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=497,  y=347,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
11.741, 17, Clicked: RED, x=637,  y=449,  DARK_RED: x=646,  y=438,  dx=0.024701807930825763,  dy=-0.08444790111970776,  clicks=35,  score=0, ORANGE: x=733,  y=354,  dx=0.0748086568569308,  dy=-0.11190138112140541,  clicks=0,  score=0, YELLOW: x=499,  y=359,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
12.122, 17, Clicked: RED, x=651,  y=431,  DARK_RED: x=658,  y=399,  dx=0.024701807930825763,  dy=-0.08444790111970776,  clicks=36,  score=1, ORANGE: x=767,  y=303,  dx=0.0748086568569308,  dy=-0.11190138112140541,  clicks=0,  score=0, YELLOW: x=506,  y=388,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
12.367, 18, Clicked: RED, x=679,  y=376,  DARK_RED: x=665,  y=374,  dx=0.024701807930825763,  dy=-0.08444790111970776,  clicks=37,  score=2, ORANGE: x=789,  y=269,  dx=0.0748086568569308,  dy=-0.11190138112140541,  clicks=0,  score=0, YELLOW: x=510,  y=406,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
12.483, 19, Clicked: RED, x=679,  y=376,  DARK_RED: x=669,  y=362,  dx=0.024701807930825763,  dy=-0.08444790111970776,  clicks=38,  score=3, ORANGE: x=800,  y=253,  dx=0.0748086568569308,  dy=-0.11190138112140541,  clicks=0,  score=0, YELLOW: x=513,  y=415,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
12.598, 20, Clicked: RED, x=681,  y=372,  DARK_RED: x=672,  y=350,  dx=0.024701807930825763,  dy=-0.08444790111970776,  clicks=39,  score=4, ORANGE: x=810,  y=238,  dx=0.0748086568569308,  dy=-0.11190138112140541,  clicks=0,  score=0, YELLOW: x=515,  y=424,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
