Sun 08 Sep 2024, 11:42PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
13.255, 29, Clicked: RED, x=960,  y=208,  DARK_RED: x=983,  y=192,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=25,  score=7, ORANGE: x=601,  y=420,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=370,  y=713,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
13.369, 29, Clicked: RED, x=965,  y=206,  DARK_RED: x=997,  y=192,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=26,  score=7, ORANGE: x=615,  y=418,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=356,  y=714,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
13.487, 29, Clicked: RED, x=992,  y=202,  DARK_RED: x=1011,  y=193,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=27,  score=7, ORANGE: x=629,  y=417,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=342,  y=714,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
13.619, 29, Clicked: RED, x=997,  y=201,  DARK_RED: x=1027,  y=193,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=28,  score=7, ORANGE: x=645,  y=415,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=326,  y=715,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
13.733, 29, Clicked: RED, x=997,  y=201,  DARK_RED: x=1041,  y=194,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=29,  score=7, ORANGE: x=659,  y=414,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=312,  y=715,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
13.983, 29, Clicked: RED, x=1061,  y=200,  DARK_RED: x=1071,  y=195,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=30,  score=7, ORANGE: x=688,  y=411,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=282,  y=716,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
14.112, 29, Clicked: RED, x=1061,  y=200,  DARK_RED: x=1087,  y=196,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=31,  score=7, ORANGE: x=704,  y=409,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=266,  y=717,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
14.275, 29, Clicked: RED, x=1065,  y=200,  DARK_RED: x=1107,  y=197,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=32,  score=7, ORANGE: x=724,  y=407,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=246,  y=717,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
14.41, 29, Clicked: RED, x=1120,  y=206,  DARK_RED: x=1123,  y=198,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=33,  score=7, ORANGE: x=740,  y=405,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=230,  y=718,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
14.559, 29, Clicked: RED, x=1133,  y=207,  DARK_RED: x=1141,  y=198,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=34,  score=7, ORANGE: x=758,  y=403,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=212,  y=718,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
14.707, 29, Clicked: RED, x=1153,  y=210,  DARK_RED: x=1159,  y=199,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=35,  score=7, ORANGE: x=776,  y=401,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=194,  y=719,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
14.838, 29, Clicked: RED, x=1162,  y=210,  DARK_RED: x=1175,  y=200,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=36,  score=7, ORANGE: x=792,  y=399,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=178,  y=720,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
14.985, 29, Clicked: RED, x=1196,  y=211,  DARK_RED: x=1193,  y=201,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=37,  score=7, ORANGE: x=810,  y=398,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=160,  y=720,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
15.117, 29, Clicked: RED, x=1207,  y=212,  DARK_RED: x=1209,  y=201,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=38,  score=7, ORANGE: x=826,  y=396,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=173,  y=721,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
15.247, 29, Clicked: RED, x=1209,  y=212,  DARK_RED: x=1225,  y=202,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=39,  score=7, ORANGE: x=842,  y=394,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=189,  y=721,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
15.396, 29, Clicked: RED, x=1209,  y=212,  DARK_RED: x=1242,  y=203,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=40,  score=7, ORANGE: x=859,  y=392,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=207,  y=722,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
15.494, 29, Clicked: RED, x=1209,  y=212,  DARK_RED: x=1254,  y=203,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=41,  score=8, ORANGE: x=871,  y=391,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=219,  y=722,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
15.643, 30, Clicked: None, x=1212, y=212,  RED: x=1272,  y=204,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=41,  score=8, ORANGE: x=889,  y=389,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=237,  y=723,  dx=0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
